Record,Vital,Lag,MAE,RMSE,MAPE
p000263-2160-01-11-11-58n,SpO2,2,0.16187955800928364,0.20286989430925984,0.16618463932701627
p000302-2133-03-29-03-44n,HR,5,1.5190857604333516,1.877075538206326,2.201044536461299
p000302-2133-03-29-03-44n,RESP,5,1.6373037174875846,1.87683152365091,11.909783723294893
p000302-2133-03-29-03-44n,SpO2,5,25.889645003752634,26.73716482961074,26.635429056480874
p000308-2135-09-28-04-22n,HR,1,0.21613571017332162,0.2787707959238239,0.22603427323264733
p000308-2135-09-28-04-22n,RESP,1,1.3890492796373923,1.6250966930208266,5.272865330904908
p000308-2135-09-28-04-22n,SpO2,1,0.2237898416959581,0.2532072941551768,0.22528057758044065
p000408-2188-10-28-18-23n,HR,1,0.6020025594838841,0.7483070260209473,0.6490060133391817
p000408-2188-10-28-18-23n,RESP,1,1.212934430469725,1.3359508833357514,4.6305990649096485
p000408-2188-10-28-18-23n,SpO2,1,0.3825084651940145,0.4701034391333552,0.38406805377146647
p000462-2131-05-25-15-50n,HR,1,4.081962021597455,4.600749865135527,4.7049499784070345
p000462-2131-05-25-15-50n,RESP,1,1.9097480323405882,2.131105526153894,13.538505205528233
p000462-2131-05-25-15-50n,SpO2,1,1.7513865716998551,1.934505015668596,1.8204897667448607
p000507-2148-09-20-17-06n,HR,1,0.719069760189005,0.8323167221567255,1.1128689877833688
p000507-2148-09-20-17-06n,RESP,1,3.249360185399847,3.6646621475569234,13.665916133093509
p000507-2148-09-20-17-06n,SpO2,1,1.406081694974361,1.6353602103176201,1.464132297359894
p000549-2161-08-21-16-18n,HR,4,2.0272323629228026,2.3901335621653796,2.681780218474409
p000549-2161-08-21-16-18n,RESP,4,0.8380544230748004,1.0593474671761793,2.870928008197209
p000549-2161-08-21-16-18n,SpO2,4,0.7330053450381954,0.7803417261027515,0.7479646377940771
p000571-2106-10-19-13-38n,HR,1,7.075061175631193,10.221622248723444,8.346310733021301
p000571-2106-10-19-13-38n,RESP,1,6.2477617040379485,8.294731290371551,48.18490818801472
p000571-2106-10-19-13-38n,SpO2,1,1.2264768520192177,1.730190736075841,1.267418578806058
p000586-2142-11-22-05-11n,HR,2,1.1292201314402448,1.4682129284256986,1.4614330745575939
p000586-2142-11-22-05-11n,RESP,2,2.242742853689622,2.5719111118986078,16.010991957052077
p000586-2142-11-22-05-11n,SpO2,2,1.916660591353572,2.2720704232823956,2.0418517353913512
p000593-2102-06-23-22-02n,HR,1,1.305518040458263,1.771514405120757,1.1190610589248207
p000593-2102-06-23-22-02n,RESP,1,0.2770081745289087,0.2862644127239171,2.3084014544075724
p000593-2102-06-23-22-02n,SpO2,1,0.21236870839566108,0.3286501960196673,0.21364026230708688
p000600-2165-11-03-18-13n,HR,2,1.9811803963705785,2.350289110274051,2.720044095772303
p000600-2165-11-03-18-13n,RESP,2,1.3648013554099232,1.7711107544492344,7.483435244328897
p000600-2165-11-03-18-13n,SpO2,2,0.4956059136122676,0.5559082499957796,0.4987010500435123
p000618-2117-12-10-19-00n,HR,1,1.333157724711505,1.4410487192169865,1.2292629030466653
p000618-2117-12-10-19-00n,RESP,1,4.467225068846283,4.680987234022428,18.065966280330024
p000618-2117-12-10-19-00n,SpO2,1,0.47768953738451925,0.5878778309510095,0.4882655574306753
p000625-2178-04-27-00-49n,HR,3,3.423928332551108,3.7849534281787527,3.2551891153706234
p000625-2178-04-27-00-49n,RESP,3,0.7872720970407664,0.8506550586340034,26.242403234692212
p000625-2178-04-27-00-49n,SpO2,3,0.4720692341649695,0.49716271740826445,0.4925930410773959
p000634-2116-11-20-19-18n,HR,3,1.5877097666812645,1.7412105417388364,1.5768669369085262
p000634-2116-11-20-19-18n,RESP,3,5.973428026577662,6.5148010379392245,29.14174616457578
p000634-2116-11-20-19-18n,SpO2,3,3.83523867154249,4.192702265149891,4.057531959362899
p000634-2116-11-23-16-07n,HR,1,2.004824473180496,2.1634515479752934,2.7747539018713354
p000634-2116-11-23-16-07n,RESP,1,2.9978314458732176,3.4180689143551546,17.25918498739027
p000634-2116-11-23-16-07n,SpO2,1,3.922980940489188,4.23936452742821,3.995513970381279
p000638-2153-12-12-12-59n,HR,1,1.6244505496722368,1.9603308227909269,1.4529143674698508
p000638-2153-12-12-12-59n,RESP,1,1.888877057053533,2.187783107498389,9.709824332937997
p000638-2153-12-12-12-59n,SpO2,1,0.8108570320497293,0.9322154038490518,0.886659880181368
p000670-2161-02-11-14-14n,HR,3,0.5826422375532772,0.7346825965214208,0.618829638795031
p000670-2161-02-11-14-14n,RESP,3,2.7083419920319702,2.900299436601572,11.589078614900961
p000670-2161-02-11-14-14n,SpO2,3,0.6565897981901727,0.7147787628352066,0.689840881908808
p000695-2178-08-05-13-17n,HR,4,2.03829684885516,2.642001144861276,2.267251979765534
